subject,PCR,uniqueseq,count,freq
63,F3F_S1R,F3F_S1R.3,1,0.0351370344342937
66,F3F_S1R,F3F_S1R.3,0,0
67,F3F_S1R,F3F_S1R.3,1,0.0119189511323004
68,F3F_S1R,F3F_S1R.3,438,10.1435849930523
69,F3F_S1R,F3F_S1R.3,407,17.3560767590618
7,F3F_S1R,F3F_S1R.3,1243,17.8900402993667
70,F3F_S1R,F3F_S1R.3,1483,18.0150631681244
71,F3F_S1R,F3F_S1R.3,0,0
72,F3F_S1R,F3F_S1R.3,0,0
73,F3F_S1R,F3F_S1R.3,1,0.0213219616204691
74,F3F_S1R,F3F_S1R.3,0,0
75,F3F_S1R,F3F_S1R.3,1,0.00875886835420864
76,F3F_S1R,F3F_S1R.3,1352,25.9750240153698
77,F3F_S1R,F3F_S1R.3,0,0
78,F3F_S1R,F3F_S1R.3,2,0.0370713623725672
79,F3F_S1R,F3F_S1R.3,942,13.0942452043369
8,F3F_S1R,F3F_S1R.3,1571,25.762545096753
80,F3F_S1R,F3F_S1R.3,1376,24.4709229948426
81,F3F_S1R,F3F_S1R.3,0,0
82,F3F_S1R,F3F_S1R.3,2,0.019866891824774
84,F3F_S1R,F3F_S1R.3,509,17.1553758004719
85,F3F_S1R,F3F_S1R.3,2,0.0234879624192601
87,F3F_S1R,F3F_S1R.3,825,17.1910814753074
90,F3F_S1R,F3F_S1R.3,0,0
91,F3F_S1R,F3F_S1R.3,0,0
92,F3F_S1R,F3F_S1R.3,0,0
93,F3F_S1R,F3F_S1R.3,2,0.0484613520717228
95,F3F_S1R,F3F_S1R.3,784,25.4132901134522
10,F3F_S1R,F3F_S1R.4,720,15.7756354075372
12,F3F_S1R,F3F_S1R.4,1264,25.556004852406
13,F3F_S1R,F3F_S1R.4,1360,25.0460405156538
15,F3F_S1R,F3F_S1R.4,3047,49.7388181521384
16,F3F_S1R,F3F_S1R.4,0,0
17,F3F_S1R,F3F_S1R.4,2,0.128287363694676
18,F3F_S1R,F3F_S1R.4,0,0
19,F3F_S1R,F3F_S1R.4,1704,16.1977186311787
2,F3F_S1R,F3F_S1R.4,522,26.8518518518519
20,F3F_S1R,F3F_S1R.4,1201,25.094024237359
21,F3F_S1R,F3F_S1R.4,478,24.8569942797712
23,F3F_S1R,F3F_S1R.4,3,0.0245318505192575
24,F3F_S1R,F3F_S1R.4,2,0.0896057347670251
