subject,PCR,uniqueseq,value,freq
7,F3F_S1R,F3F_S1R.3,5696,47.8776162057662
70,F3F_S1R,F3F_S1R.3,9306,47.2625698324022
71,F3F_S1R,F3F_S1R.3,0,0
72,F3F_S1R,F3F_S1R.3,0,0
73,F3F_S1R,F3F_S1R.3,0,0
74,F3F_S1R,F3F_S1R.3,0,0
75,F3F_S1R,F3F_S1R.3,0,0
76,F3F_S1R,F3F_S1R.3,8140,96.6057441253264
77,F3F_S1R,F3F_S1R.3,0,0
78,F3F_S1R,F3F_S1R.3,0,0
79,F3F_S1R,F3F_S1R.3,6346,50.9882693234774
8,F3F_S1R,F3F_S1R.3,5642,49.2708060431403
80,F3F_S1R,F3F_S1R.3,6779,49.6630036630037
81,F3F_S1R,F3F_S1R.3,0,0
82,F3F_S1R,F3F_S1R.3,0,0
84,F3F_S1R,F3F_S1R.3,2711,49.7157527966257
85,F3F_S1R,F3F_S1R.3,0,0
87,F3F_S1R,F3F_S1R.3,5129,48.4736792363671
90,F3F_S1R,F3F_S1R.3,0,0
91,F3F_S1R,F3F_S1R.3,0,0
92,F3F_S1R,F3F_S1R.3,0,0
93,F3F_S1R,F3F_S1R.3,0,0
95,F3F_S1R,F3F_S1R.3,4444,50.1750028226262
10,F3F_S1R,F3F_S1R.5,0,0
12,F3F_S1R,F3F_S1R.5,0,0
13,F3F_S1R,F3F_S1R.5,0,0
15,F3F_S1R,F3F_S1R.5,0,0
16,F3F_S1R,F3F_S1R.5,0,0
17,F3F_S1R,F3F_S1R.5,0,0
18,F3F_S1R,F3F_S1R.5,0,0
19,F3F_S1R,F3F_S1R.5,0,0
2,F3F_S1R,F3F_S1R.5,0,0
20,F3F_S1R,F3F_S1R.5,0,0
21,F3F_S1R,F3F_S1R.5,0,0
23,F3F_S1R,F3F_S1R.5,0,0
24,F3F_S1R,F3F_S1R.5,2259,95.0757575757576
25,F3F_S1R,F3F_S1R.5,0,0
26,F3F_S1R,F3F_S1R.5,0,0
27,F3F_S1R,F3F_S1R.5,0,0
28,F3F_S1R,F3F_S1R.5,0,0
29,F3F_S1R,F3F_S1R.5,0,0
30,F3F_S1R,F3F_S1R.5,0,0
31,F3F_S1R,F3F_S1R.5,0,0
32,F3F_S1R,F3F_S1R.5,0,0
34,F3F_S1R,F3F_S1R.5,0,0
36,F3F_S1R,F3F_S1R.5,0,0
37,F3F_S1R,F3F_S1R.5,0,0
38,F3F_S1R,F3F_S1R.5,0,0
39,F3F_S1R,F3F_S1R.5,0,0
4,F3F_S1R,F3F_S1R.5,0,0
40,F3F_S1R,F3F_S1R.5,1412,51.4577259475219
42,F3F_S1R,F3F_S1R.5,0,0
44,F3F_S1R,F3F_S1R.5,0,0
45,F3F_S1R,F3F_S1R.5,0,0
46,F3F_S1R,F3F_S1R.5,2939,51.453081232493
47,F3F_S1R,F3F_S1R.5,0,0
48,F3F_S1R,F3F_S1R.5,0,0
49,F3F_S1R,F3F_S1R.5,0,0
5,F3F_S1R,F3F_S1R.5,0,0
50,F3F_S1R,F3F_S1R.5,0,0
51,F3F_S1R,F3F_S1R.5,0,0
52,F3F_S1R,F3F_S1R.5,0,0
53,F3F_S1R,F3F_S1R.5,0,0
54,F3F_S1R,F3F_S1R.5,0,0
55,F3F_S1R,F3F_S1R.5,0,0
56,F3F_S1R,F3F_S1R.5,2785,49.8389405869721
57,F3F_S1R,F3F_S1R.5,0,0
58,F3F_S1R,F3F_S1R.5,2786,52.0553064275037
59,F3F_S1R,F3F_S1R.5,0,0
6,F3F_S1R,F3F_S1R.5,0,0
60,F3F_S1R,F3F_S1R.5,0,0
61,F3F_S1R,F3F_S1R.5,0,0
62,F3F_S1R,F3F_S1R.5,0,0
63,F3F_S1R,F3F_S1R.5,2576,51.182197496523
66,F3F_S1R,F3F_S1R.5,0,0
67,F3F_S1R,F3F_S1R.5,0,0
68,F3F_S1R,F3F_S1R.5,0,0
69,F3F_S1R,F3F_S1R.5,0,0
7,F3F_S1R,F3F_S1R.5,6149,51.6852988148273
70,F3F_S1R,F3F_S1R.5,10339,52.5088877602844
71,F3F_S1R,F3F_S1R.5,3605,46.6666666666667
72,F3F_S1R,F3F_S1R.5,0,0
73,F3F_S1R,F3F_S1R.5,0,0
74,F3F_S1R,F3F_S1R.5,0,0
75,F3F_S1R,F3F_S1R.5,0,0
76,F3F_S1R,F3F_S1R.5,0,0
77,F3F_S1R,F3F_S1R.5,0,0
78,F3F_S1R,F3F_S1R.5,5678,51.702786377709
79,F3F_S1R,F3F_S1R.5,0,0
8,F3F_S1R,F3F_S1R.5,0,0
80,F3F_S1R,F3F_S1R.5,0,0
81,F3F_S1R,F3F_S1R.5,0,0
82,F3F_S1R,F3F_S1R.5,0,0
84,F3F_S1R,F3F_S1R.5,0,0
85,F3F_S1R,F3F_S1R.5,3666,32.4252609234035
87,F3F_S1R,F3F_S1R.5,0,0
90,F3F_S1R,F3F_S1R.5,0,0
91,F3F_S1R,F3F_S1R.5,2986,34.2038946162658
92,F3F_S1R,F3F_S1R.5,0,0
93,F3F_S1R,F3F_S1R.5,4539,51.7323911556873
95,F3F_S1R,F3F_S1R.5,0,0
10,F3F_S1R,F3F_S1R.7,3987,52.2200392927309
12,F3F_S1R,F3F_S1R.7,0,0
13,F3F_S1R,F3F_S1R.7,0,0
15,F3F_S1R,F3F_S1R.7,0,0
16,F3F_S1R,F3F_S1R.7,0,0
17,F3F_S1R,F3F_S1R.7,0,0
18,F3F_S1R,F3F_S1R.7,0,0
19,F3F_S1R,F3F_S1R.7,0,0
2,F3F_S1R,F3F_S1R.7,0,0
20,F3F_S1R,F3F_S1R.7,0,0
21,F3F_S1R,F3F_S1R.7,0,0
23,F3F_S1R,F3F_S1R.7,19601,99.4217600811565
24,F3F_S1R,F3F_S1R.7,0,0
25,F3F_S1R,F3F_S1R.7,0,0
26,F3F_S1R,F3F_S1R.7,0,0
27,F3F_S1R,F3F_S1R.7,4029,51.7799768667267
28,F3F_S1R,F3F_S1R.7,0,0
29,F3F_S1R,F3F_S1R.7,0,0
30,F3F_S1R,F3F_S1R.7,0,0
31,F3F_S1R,F3F_S1R.7,0,0
32,F3F_S1R,F3F_S1R.7,0,0
34,F3F_S1R,F3F_S1R.7,0,0
36,F3F_S1R,F3F_S1R.7,0,0
37,F3F_S1R,F3F_S1R.7,4811,51.898597626753
38,F3F_S1R,F3F_S1R.7,151,46.4615384615385
39,F3F_S1R,F3F_S1R.7,0,0
4,F3F_S1R,F3F_S1R.7,0,0
40,F3F_S1R,F3F_S1R.7,0,0
42,F3F_S1R,F3F_S1R.7,0,0
44,F3F_S1R,F3F_S1R.7,0,0
45,F3F_S1R,F3F_S1R.7,0,0
46,F3F_S1R,F3F_S1R.7,0,0
47,F3F_S1R,F3F_S1R.7,0,0
48,F3F_S1R,F3F_S1R.7,1746,51.779359430605
49,F3F_S1R,F3F_S1R.7,0,0
5,F3F_S1R,F3F_S1R.7,0,0
50,F3F_S1R,F3F_S1R.7,0,0
51,F3F_S1R,F3F_S1R.7,2975,52.626923757297
52,F3F_S1R,F3F_S1R.7,0,0
53,F3F_S1R,F3F_S1R.7,0,0
54,F3F_S1R,F3F_S1R.7,0,0
55,F3F_S1R,F3F_S1R.7,0,0
56,F3F_S1R,F3F_S1R.7,0,0
57,F3F_S1R,F3F_S1R.7,0,0
58,F3F_S1R,F3F_S1R.7,0,0
59,F3F_S1R,F3F_S1R.7,0,0
6,F3F_S1R,F3F_S1R.7,0,0
60,F3F_S1R,F3F_S1R.7,0,0
61,F3F_S1R,F3F_S1R.7,0,0
62,F3F_S1R,F3F_S1R.7,0,0
63,F3F_S1R,F3F_S1R.7,0,0
66,F3F_S1R,F3F_S1R.7,0,0
67,F3F_S1R,F3F_S1R.7,0,0
68,F3F_S1R,F3F_S1R.7,0,0
69,F3F_S1R,F3F_S1R.7,0,0
7,F3F_S1R,F3F_S1R.7,0,0
70,F3F_S1R,F3F_S1R.7,0,0
71,F3F_S1R,F3F_S1R.7,0,0
72,F3F_S1R,F3F_S1R.7,0,0
73,F3F_S1R,F3F_S1R.7,0,0
74,F3F_S1R,F3F_S1R.7,5541,52.4368316456894
75,F3F_S1R,F3F_S1R.7,0,0
76,F3F_S1R,F3F_S1R.7,0,0
77,F3F_S1R,F3F_S1R.7,0,0
78,F3F_S1R,F3F_S1R.7,0,0
79,F3F_S1R,F3F_S1R.7,0,0
8,F3F_S1R,F3F_S1R.7,0,0
80,F3F_S1R,F3F_S1R.7,0,0
81,F3F_S1R,F3F_S1R.7,0,0
82,F3F_S1R,F3F_S1R.7,0,0
84,F3F_S1R,F3F_S1R.7,0,0
85,F3F_S1R,F3F_S1R.7,0,0
87,F3F_S1R,F3F_S1R.7,0,0
90,F3F_S1R,F3F_S1R.7,0,0
91,F3F_S1R,F3F_S1R.7,0,0
92,F3F_S1R,F3F_S1R.7,0,0
93,F3F_S1R,F3F_S1R.7,0,0
95,F3F_S1R,F3F_S1R.7,0,0
10,F3F_S1R,F3F_S1R.10,0,0
12,F3F_S1R,F3F_S1R.10,0,0
13,F3F_S1R,F3F_S1R.10,0,0
15,F3F_S1R,F3F_S1R.10,7027,50.4922037795502
16,F3F_S1R,F3F_S1R.10,0,0
17,F3F_S1R,F3F_S1R.10,0,0
18,F3F_S1R,F3F_S1R.10,0,0
19,F3F_S1R,F3F_S1R.10,0,0
2,F3F_S1R,F3F_S1R.10,0,0
20,F3F_S1R,F3F_S1R.10,4866,49.0375894386778
21,F3F_S1R,F3F_S1R.10,0,0
23,F3F_S1R,F3F_S1R.10,0,0
24,F3F_S1R,F3F_S1R.10,0,0
25,F3F_S1R,F3F_S1R.10,0,0
26,F3F_S1R,F3F_S1R.10,0,0
27,F3F_S1R,F3F_S1R.10,0,0
28,F3F_S1R,F3F_S1R.10,0,0
29,F3F_S1R,F3F_S1R.10,0,0
30,F3F_S1R,F3F_S1R.10,0,0
31,F3F_S1R,F3F_S1R.10,0,0
32,F3F_S1R,F3F_S1R.10,0,0
34,F3F_S1R,F3F_S1R.10,0,0
36,F3F_S1R,F3F_S1R.10,0,0
37,F3F_S1R,F3F_S1R.10,0,0
38,F3F_S1R,F3F_S1R.10,0,0
39,F3F_S1R,F3F_S1R.10,0,0
4,F3F_S1R,F3F_S1R.10,0,0
40,F3F_S1R,F3F_S1R.10,0,0
42,F3F_S1R,F3F_S1R.10,0,0
44,F3F_S1R,F3F_S1R.10,0,0
45,F3F_S1R,F3F_S1R.10,0,0
46,F3F_S1R,F3F_S1R.10,0,0
47,F3F_S1R,F3F_S1R.10,0,0
48,F3F_S1R,F3F_S1R.10,0,0
49,F3F_S1R,F3F_S1R.10,30,100
5,F3F_S1R,F3F_S1R.10,3774,49.6317727511836
50,F3F_S1R,F3F_S1R.10,0,0
51,F3F_S1R,F3F_S1R.10,2674,47.3023173536175
52,F3F_S1R,F3F_S1R.10,0,0
53,F3F_S1R,F3F_S1R.10,0,0
54,F3F_S1R,F3F_S1R.10,0,0
55,F3F_S1R,F3F_S1R.10,0,0
56,F3F_S1R,F3F_S1R.10,0,0
57,F3F_S1R,F3F_S1R.10,0,0
58,F3F_S1R,F3F_S1R.10,0,0
59,F3F_S1R,F3F_S1R.10,0,0
6,F3F_S1R,F3F_S1R.10,0,0
60,F3F_S1R,F3F_S1R.10,0,0
61,F3F_S1R,F3F_S1R.10,0,0
62,F3F_S1R,F3F_S1R.10,0,0
63,F3F_S1R,F3F_S1R.10,0,0
66,F3F_S1R,F3F_S1R.10,6169,44.4292401872524
67,F3F_S1R,F3F_S1R.10,6862,46.3868045697289
68,F3F_S1R,F3F_S1R.10,0,0
69,F3F_S1R,F3F_S1R.10,0,0
7,F3F_S1R,F3F_S1R.10,0,0
70,F3F_S1R,F3F_S1R.10,0,0
71,F3F_S1R,F3F_S1R.10,0,0
72,F3F_S1R,F3F_S1R.10,0,0
73,F3F_S1R,F3F_S1R.10,0,0
74,F3F_S1R,F3F_S1R.10,0,0
75,F3F_S1R,F3F_S1R.10,0,0
76,F3F_S1R,F3F_S1R.10,0,0
77,F3F_S1R,F3F_S1R.10,0,0
78,F3F_S1R,F3F_S1R.10,0,0
79,F3F_S1R,F3F_S1R.10,0,0
8,F3F_S1R,F3F_S1R.10,0,0
80,F3F_S1R,F3F_S1R.10,0,0
81,F3F_S1R,F3F_S1R.10,0,0
82,F3F_S1R,F3F_S1R.10,0,0
84,F3F_S1R,F3F_S1R.10,0,0
85,F3F_S1R,F3F_S1R.10,0,0
87,F3F_S1R,F3F_S1R.10,0,0
90,F3F_S1R,F3F_S1R.10,0,0
91,F3F_S1R,F3F_S1R.10,0,0
92,F3F_S1R,F3F_S1R.10,0,0
93,F3F_S1R,F3F_S1R.10,0,0
95,F3F_S1R,F3F_S1R.10,0,0
10,F3F_S1R,F3F_S1R.11,0,0
12,F3F_S1R,F3F_S1R.11,0,0
13,F3F_S1R,F3F_S1R.11,0,0
15,F3F_S1R,F3F_S1R.11,0,0
16,F3F_S1R,F3F_S1R.11,0,0
17,F3F_S1R,F3F_S1R.11,0,0
18,F3F_S1R,F3F_S1R.11,0,0
19,F3F_S1R,F3F_S1R.11,0,0
2,F3F_S1R,F3F_S1R.11,0,0
20,F3F_S1R,F3F_S1R.11,0,0
21,F3F_S1R,F3F_S1R.11,0,0
23,F3F_S1R,F3F_S1R.11,0,0
24,F3F_S1R,F3F_S1R.11,0,0
25,F3F_S1R,F3F_S1R.11,0,0
26,F3F_S1R,F3F_S1R.11,0,0
27,F3F_S1R,F3F_S1R.11,0,0
28,F3F_S1R,F3F_S1R.11,0,0
29,F3F_S1R,F3F_S1R.11,0,0
30,F3F_S1R,F3F_S1R.11,0,0
31,F3F_S1R,F3F_S1R.11,11324,51.9068573524019
32,F3F_S1R,F3F_S1R.11,0,0
34,F3F_S1R,F3F_S1R.11,0,0
36,F3F_S1R,F3F_S1R.11,0,0
37,F3F_S1R,F3F_S1R.11,0,0
38,F3F_S1R,F3F_S1R.11,0,0
39,F3F_S1R,F3F_S1R.11,0,0
4,F3F_S1R,F3F_S1R.11,0,0
40,F3F_S1R,F3F_S1R.11,0,0
42,F3F_S1R,F3F_S1R.11,0,0
44,F3F_S1R,F3F_S1R.11,0,0
45,F3F_S1R,F3F_S1R.11,0,0
46,F3F_S1R,F3F_S1R.11,0,0
47,F3F_S1R,F3F_S1R.11,0,0
48,F3F_S1R,F3F_S1R.11,0,0
49,F3F_S1R,F3F_S1R.11,0,0
